latency,msg_len
66,16
63,16
62,16
62,16
58,16
62,16
61,16
63,16
59,16
59,16
58,16
61,16
63,16
61,16
61,16
60,16
61,16
62,16
63,16
59,16
91,32
70,32
68,32
71,32
71,32
69,32
67,32
71,32
71,32
66,32
71,32
69,32
71,32
66,32
69,32
68,32
70,32
68,32
69,32
69,32
87,64
80,64
85,64
81,64
79,64
82,64
77,64
82,64
80,64
80,64
82,64
79,64
78,64
81,64
78,64
78,64
79,64
80,64
78,64
79,64
108,128
109,128
103,128
105,128
103,128
107,128
101,128
103,128
101,128
105,128
106,128
107,128
104,128
103,128
102,128
106,128
102,128
107,128
105,128
105,128
176,256
160,256
154,256
151,256
154,256
154,256
156,256
153,256
154,256
154,256
156,256
155,256
151,256
155,256
154,256
155,256
151,256
153,256
154,256
151,256
273,512
250,512
252,512
263,512
252,512
252,512
254,512
255,512
254,512
250,512
251,512
250,512
251,512
251,512
253,512
252,512
252,512
253,512
254,512
253,512
467,1024
458,1024
448,1024
443,1024
443,1024
451,1024
445,1024
443,1024
447,1024
448,1024
447,1024
443,1024
446,1024
445,1024
447,1024
446,1024
446,1024
444,1024
445,1024
443,1024
