latency,msg_len
56,16
54,16
55,16
52,16
56,16
54,16
56,16
57,16
56,16
57,16
53,16
53,16
54,16
57,16
57,16
55,16
54,16
54,16
53,16
55,16
113,32
70,32
60,32
61,32
65,32
61,32
63,32
61,32
65,32
61,32
62,32
61,32
65,32
60,32
65,32
64,32
64,32
65,32
62,32
63,32
82,64
79,64
75,64
78,64
78,64
75,64
75,64
79,64
75,64
79,64
76,64
76,64
80,64
78,64
79,64
78,64
76,64
77,64
78,64
75,64
108,128
110,128
105,128
104,128
99,128
101,128
105,128
101,128
100,128
101,128
101,128
103,128
104,128
99,128
101,128
99,128
105,128
99,128
102,128
100,128
172,256
154,256
151,256
150,256
153,256
153,256
149,256
152,256
151,256
150,256
153,256
153,256
150,256
151,256
153,256
152,256
150,256
150,256
149,256
153,256
271,512
248,512
261,512
250,512
250,512
250,512
252,512
252,512
251,512
248,512
247,512
251,512
248,512
248,512
249,512
252,512
247,512
252,512
249,512
248,512
463,1024
445,1024
453,1024
446,1024
454,1024
445,1024
441,1024
444,1024
445,1024
443,1024
445,1024
446,1024
441,1024
445,1024
444,1024
442,1024
443,1024
446,1024
445,1024
444,1024
