latency,msg_len
102,16
101,16
103,16
102,16
101,16
103,16
100,16
105,16
104,16
103,16
100,16
101,16
100,16
103,16
104,16
104,16
102,16
102,16
104,16
100,16
161,32
114,32
111,32
112,32
111,32
110,32
111,32
113,32
110,32
113,32
114,32
113,32
111,32
112,32
112,32
114,32
113,32
115,32
115,32
115,32
134,64
127,64
141,64
128,64
129,64
130,64
126,64
130,64
128,64
130,64
127,64
129,64
129,64
130,64
126,64
130,64
130,64
128,64
128,64
128,64
163,128
157,128
154,128
158,128
158,128
157,128
155,128
156,128
158,128
159,128
158,128
159,128
155,128
159,128
157,128
154,128
158,128
156,128
154,128
157,128
232,256
210,256
207,256
207,256
209,256
208,256
206,256
207,256
207,256
207,256
209,256
206,256
206,256
208,256
209,256
206,256
211,256
211,256
207,256
209,256
306,512
284,512
303,512
286,512
284,512
284,512
285,512
287,512
288,512
286,512
283,512
286,512
285,512
288,512
286,512
284,512
287,512
288,512
286,512
285,512
500,1024
498,1024
474,1024
478,1024
475,1024
492,1024
477,1024
478,1024
474,1024
476,1024
477,1024
476,1024
476,1024
476,1024
478,1024
474,1024
477,1024
474,1024
474,1024
476,1024
