latency,msg_len
91,16
93,16
91,16
90,16
91,16
95,16
91,16
91,16
93,16
93,16
95,16
90,16
93,16
90,16
90,16
94,16
93,16
90,16
90,16
95,16
149,32
105,32
101,32
105,32
101,32
104,32
100,32
105,32
101,32
104,32
101,32
104,32
100,32
101,32
105,32
100,32
104,32
105,32
100,32
105,32
122,64
120,64
128,64
116,64
118,64
117,64
118,64
119,64
115,64
121,64
119,64
118,64
116,64
117,64
118,64
119,64
116,64
116,64
118,64
118,64
151,128
152,128
144,128
148,128
146,128
148,128
146,128
147,128
148,128
145,128
147,128
149,128
148,128
146,128
146,128
147,128
146,128
147,128
148,128
148,128
220,256
200,256
201,256
197,256
198,256
196,256
201,256
200,256
197,256
198,256
198,256
200,256
199,256
199,256
201,256
201,256
199,256
199,256
197,256
197,256
302,512
285,512
303,512
286,512
283,512
285,512
286,512
286,512
285,512
282,512
284,512
286,512
281,512
283,512
283,512
285,512
281,512
284,512
285,512
284,512
499,1024
495,1024
479,1024
476,1024
474,1024
490,1024
478,1024
477,1024
476,1024
475,1024
477,1024
475,1024
477,1024
476,1024
475,1024
477,1024
474,1024
478,1024
476,1024
479,1024
